accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,label
"[0.9480900232691144, 1.0, 0.9391821067266012, 0.5483212844153382]","[0.6571609099218534, 0.4956037531490986, 0.9524225792190244, 0.7297062302452688]","[0.5162223841293282, 0.6086395773571097, 0.342115795526572, 0.5918968942151245]","[0.3435114611314079, 0.3129771090146742, 0.5038168081076468, 0.7480916192224483]","[0.5454545528045252, 0.3787878784378797, 0.0454545528045251, 0.0909090825091141]","[1.0, 0.8800000022360739, 0.8666666747978444, 0.67999998902291]",Normal
"[1.0, 0.9391821067266012, 0.5483212844153382, 0.9451939486264608]","[0.4956037531490986, 0.9524225792190244, 0.7297062302452688, 0.53860869921193]","[0.6086395773571097, 0.342115795526572, 0.5918968942151245, 0.7519897149055457]","[0.3129771090146742, 0.5038168081076468, 0.7480916192224483, 0.6106870394251394]","[0.3787878784378797, 0.0454545528045251, 0.0909090825091141, 0.0]","[0.8800000022360739, 0.8666666747978444, 0.67999998902291, 0.1333333455300999]",Normal
"[0.9391821067266012, 0.5483212844153382, 0.9451939486264608, 0.4579467080447745]","[0.9524225792190244, 0.7297062302452688, 0.53860869921193, 0.3974974146326722]","[0.342115795526572, 0.5918968942151245, 0.7519897149055457, 0.4771681031384567]","[0.5038168081076468, 0.7480916192224483, 0.6106870394251394, 0.3282442788902814]","[0.0454545528045251, 0.0909090825091141, 0.0, 0.2878787728288295]","[0.8666666747978444, 0.67999998902291, 0.1333333455300999, 0.0133333426841877]",Normal
"[0.5483212844153382, 0.9451939486264608, 0.4579467080447745, 0.5206549706757153]","[0.7297062302452688, 0.53860869921193, 0.3974974146326722, 0.0]","[0.5918968942151245, 0.7519897149055457, 0.4771681031384567, 0.6784160039728955]","[0.7480916192224483, 0.6106870394251394, 0.3282442788902814, 0.0]","[0.0909090825091141, 0.0, 0.2878787728288295, 0.9090908943909496]","[0.67999998902291, 0.1333333455300999, 0.0133333426841877, 0.0]",Normal
"[0.9451939486264608, 0.4579467080447745, 0.5206549706757153, 0.0]","[0.53860869921193, 0.3974974146326722, 0.0, 1.0]","[0.7519897149055457, 0.4771681031384567, 0.6784160039728955, 0.4887298496442037]","[0.6106870394251394, 0.3282442788902814, 0.0, 1.0]","[0.0, 0.2878787728288295, 0.9090908943909496, 0.3939393878581607]","[0.1333333455300999, 0.0133333426841877, 0.0, 0.0266666040565978]",Normal
"[0.4579467080447745, 0.5206549706757153, 0.0, 0.4860704279791605]","[0.3974974146326722, 0.0, 1.0, 0.1871814152084963]","[0.4771681031384567, 0.6784160039728955, 0.4887298496442037, 0.1651438867724798]","[0.3282442788902814, 0.0, 1.0, 0.0687022898986544]","[0.2878787728288295, 0.9090908943909496, 0.3939393878581607, 0.7878787843787975]","[0.0133333426841877, 0.0, 0.0266666040565978, 0.0133333426841877]",Normal
"[0.5206549706757153, 0.0, 0.4860704279791605, 0.3891433228949231]","[0.0, 1.0, 0.1871814152084963, 0.6556420579089455]","[0.6784160039728955, 0.4887298496442037, 0.1651438867724798, 1.0]","[0.0, 1.0, 0.0687022898986544, 0.8015267232430587]","[0.9090908943909496, 0.3939393878581607, 0.7878787843787975, 0.8939394152893348]","[0.0, 0.0266666040565978, 0.0133333426841877, 0.1733332922708856]",Normal
"[0.0, 0.4860704279791605, 0.3891433228949231, 0.3559252250213007]","[1.0, 0.1871814152084963, 0.6556420579089455, 0.4095483980474116]","[0.4887298496442037, 0.1651438867724798, 1.0, 0.0]","[1.0, 0.0687022898986544, 0.8015267232430587, 0.6335877949659336]","[0.3939393878581607, 0.7878787843787975, 0.8939394152893348, 1.0]","[0.0266666040565978, 0.0133333426841877, 0.1733332922708856, 0.0933333174775366]",Normal
"[0.4860704279791605, 0.3891433228949231, 0.3559252250213007, 0.4556874102834209]","[0.1871814152084963, 0.6556420579089455, 0.4095483980474116, 0.4921516445021685]","[0.1651438867724798, 1.0, 0.0, 0.8437951279755876]","[0.0687022898986544, 0.8015267232430587, 0.6335877949659336, 0.3816793967311782]","[0.7878787843787975, 0.8939394152893348, 1.0, 0.7272727293727215]","[0.0133333426841877, 0.1733332922708856, 0.0933333174775366, 0.1066666601617244]",Normal
"[0.3891433228949231, 0.3559252250213007, 0.4556874102834209, 0.691704803138625]","[0.6556420579089455, 0.4095483980474116, 0.4921516445021685, 0.3855378640574225]","[1.0, 0.0, 0.8437951279755876, 0.7349170462045126]","[0.8015267232430587, 0.6335877949659336, 0.3816793967311782, 0.4732824479896947]","[0.8939394152893348, 1.0, 0.7272727293727215, 0.6666666743666454]","[0.1733332922708856, 0.0933333174775366, 0.1066666601617244, 0.3199999804851733]",Normal
